1 Навести на элемент в палитре — название элемента: Цикл| 2014.04.29_15.11.00.743
2 Навести на элемент в палитре — название элемента: Цикл| +0 msec
3 Нажать на элемент в палитре — название элемента: Цикл| +1224 msec
4 Нажать на элемент в палитре — название элемента: Цикл| +0 msec
5 Убрать наведение с элемента в палитре — название элемента: Цикл| +119 msec
6 Убрать наведение с элемента в палитре — название элемента: Цикл| +0 msec
7 Ввести элемент из палитры на сцену — название элемента: Цикл| +348 msec
8 Передвигать элемент по сцене — название элемента: Цикл| +5 msec
9 Передвигать элемент по сцене — название элемента: Цикл| +14 msec
10 Передвигать элемент по сцене — название элемента: Цикл| +12 msec
11 Передвигать элемент по сцене — название элемента: Цикл| +13 msec
12 Передвигать элемент по сцене — название элемента: Цикл| +313 msec
13 Передвигать элемент по сцене — название элемента: Цикл| +7 msec
14 Передвигать элемент по сцене — название элемента: Цикл| +13 msec
15 Передвигать элемент по сцене — название элемента: Цикл| +13 msec
16 Передвигать элемент по сцене — название элемента: Цикл| +13 msec
17 Передвигать элемент по сцене — название элемента: Цикл| +14 msec
18 Передвигать элемент по сцене — название элемента: Цикл| +14 msec
19 Передвигать элемент по сцене — название элемента: Цикл| +12 msec
20 Передвигать элемент по сцене — название элемента: Цикл| +12 msec
21 Передвигать элемент по сцене — название элемента: Цикл| +13 msec
22 Передвигать элемент по сцене — название элемента: Цикл| +13 msec
23 Передвигать элемент по сцене — название элемента: Цикл| +13 msec
24 Передвигать элемент по сцене — название элемента: Цикл| +12 msec
25 Передвигать элемент по сцене — название элемента: Цикл| +13 msec
26 Передвигать элемент по сцене — название элемента: Цикл| +275 msec
27 Передвигать элемент по сцене — название элемента: Цикл| +8 msec
28 Передвигать элемент по сцене — название элемента: Цикл| +12 msec
29 Передвигать элемент по сцене — название элемента: Цикл| +13 msec
30 Передвигать элемент по сцене — название элемента: Цикл| +13 msec
31 Передвигать элемент по сцене — название элемента: Цикл| +13 msec
32 Передвигать элемент по сцене — название элемента: Цикл| +19 msec
33 Передвигать элемент по сцене — название элемента: Цикл| +6 msec
34 Передвигать элемент по сцене — название элемента: Цикл| +13 msec
35 Передвигать элемент по сцене — название элемента: Цикл| +13 msec
36 Передвигать элемент по сцене — название элемента: Цикл| +13 msec
37 Передвигать элемент по сцене — название элемента: Цикл| +12 msec
38 Передвигать элемент по сцене — название элемента: Цикл| +13 msec
39 Передвигать элемент по сцене — название элемента: Цикл| +14 msec
40 Передвигать элемент по сцене — название элемента: Цикл| +12 msec
41 Бросить элемент из палитры на сцену — название элемента: Цикл| +372 msec
42 Навести на элемент на сцене — название элемента: Цикл| +2024 msec
43 Убрать наведение с элемента на сцене — название элемента: Цикл| +51 msec
